user_id,anime_id,rating
3,430,7
3,1119,7
3,1121,7
3,1122,7
3,1764,6
3,2847,7
3,6178,7
3,9135,7
3,9917,8
3,12671,3
5,371,3
5,442,4
5,528,7
5,896,4
5,898,5
5,903,1
5,905,6
5,936,5
5,1117,7
5,1764,6
5,2397,7
5,2398,7
5,2472,5
5,2594,8
5,5526,6
5,5681,6
5,6325,5
5,14349,6
5,14669,7
5,15335,10
5,15771,8
5,21647,5
11,416,10
11,430,6
11,449,6
11,451,6
11,452,9
11,512,5
11,523,8
11,528,7
11,759,8
11,997,7
11,1117,9
11,1118,8
11,2313,10
11,2847,6
17,430,6
17,759,8
17,4106,8
17,4107,7
17,5681,8
17,7311,9
17,9135,6
17,14349,7
17,16149,5
17,19489,7
17,21647,6
17,30413,7
29,502,6
29,891,7
29,892,8
29,893,6
29,894,4
29,895,7
29,896,8
29,898,8
29,899,7
29,900,8
29,901,9
29,902,8
29,903,8
29,904,6
29,905,7
29,906,10
29,1894,10
29,25687,6
46,464,9
46,512,10
46,523,10
46,3848,10
46,4835,9
46,5681,7
46,8247,9
46,9617,8
46,12049,9
46,14349,10
46,15335,10
46,25687,8
46,32108,8
50,901,10
50,902,9
50,903,10
50,904,10
50,905,10
50,906,9
50,1430,9
50,1894,9
50,4155,7
50,12859,9
80,430,8
80,449,7
80,451,7
80,452,7
80,523,10
80,528,10
80,1117,9
80,1118,9
80,1119,8
80,1120,7
80,1121,6
80,1122,6
80,1894,8
80,2006,8
80,9790,9
88,430,10
88,528,10
88,1117,10
88,1118,10
88,1119,9
88,1120,9
88,1121,9
88,1122,9
88,1894,10
88,2847,9
88,6178,9
88,9135,10
88,16680,9
109,4106,9
109,4155,9
109,4835,7
109,5681,7
109,6372,7
109,6637,7
109,7472,9
109,8247,8
109,12015,7
109,12049,8
127,502,7
127,891,6
127,892,7
127,895,9
127,896,7
127,898,7
127,899,7
127,900,8
127,901,7
127,902,6
127,903,7
127,904,7
127,905,9
127,906,8
128,442,7
128,459,7
128,460,8
128,461,7
128,462,9
128,463,9
128,464,8
128,465,8
128,523,10
128,3848,9
128,4155,10
129,442,8
129,459,7
129,512,9
129,523,9
129,936,9
129,2472,9
129,4155,9
129,4835,9
129,6325,9
129,6372,9
129,6637,9
129,6927,9
129,8246,10
129,12859,9
139,759,9
139,974,7
139,997,7
139,1106,6
139,2397,7
139,2398,7
139,4107,8
139,4835,6
139,5681,8
139,7311,7
139,8247,6
139,14349,7
139,25687,8
160,371,9
160,372,8
160,416,9
160,512,9
160,523,10
160,528,9
160,536,9
160,867,8
160,868,8
160,869,8
160,875,8
160,974,9
160,1078,8
160,1117,8
160,1118,8
160,1119,8
160,1120,8
160,1121,8
160,1122,8
160,2033,8
160,4106,8
160,4107,9
160,6178,8
160,6927,8
160,9617,8
160,12671,8
160,16680,7
190,430,7
190,442,5
190,459,5
190,460,5
190,461,6
190,462,6
190,463,6
190,464,7
190,465,6
190,882,7
190,883,7
190,894,6
190,895,6
190,896,6
190,898,6
190,899,6
190,900,7
190,901,9
190,902,7
190,903,7
190,904,5
190,905,7
190,906,6
190,936,4
190,1894,6
190,2472,6
190,3848,6
190,4155,10
190,4835,7
190,6325,7
190,8246,3
190,8247,7
190,9999,6
190,12859,8
191,416,8
191,894,7
191,895,7
191,896,7
191,898,8
191,899,8
191,900,8
191,901,7
191,902,8
191,903,8
191,904,8
191,905,8
191,906,8
191,5681,9
191,9617,9
191,25389,9
226,442,6
226,502,6
226,891,7
226,892,7
226,893,7
226,894,6
226,895,7
226,896,6
226,898,6
226,899,7
226,900,8
226,901,8
226,902,6
226,903,8
226,904,5
226,905,8
226,906,7
226,936,6
226,2472,6
226,6325,7
226,6372,9
226,6637,9
226,8246,8
226,10659,6
226,25389,8
226,28755,7
244,459,10
244,523,8
244,4155,10
244,4835,10
244,5681,10
244,6372,8
244,6637,8
244,7311,10
244,9617,10
244,9790,9
244,9999,8
244,12783,9
244,12859,10
244,19021,9
244,25687,8
244,31490,9
244,32108,8
244,32551,8
271,528,8
271,894,7
271,895,7
271,896,7
271,1117,7
271,1118,6
271,1119,6
271,1120,7
271,1121,7
271,1122,7
271,2847,6
271,4793,6
271,4794,6
271,4795,6
271,4835,10
271,5529,6
271,6178,6
271,8247,10
271,9617,8
271,9790,5
271,9917,6
271,10740,6
271,11009,6
271,11019,6
271,12671,6
